SKU,ANNO,STAG,COD. COLLEZION,DESC. COLLEZIONE,SERIE,COD,VAR,CO,DESCRIZIONE,TG CAMPIONE,CONT,STATO (9=ANNULLATO),GENERE
0450002010M04,2025,1,604,NATURINO CLASSIC,S3,0450002,01,0M04,NATURINO CORT,24,,6,
0450002010N04,2025,1,604,NATURINO CLASSIC,S3,0450002,01,0N04,NATURINO CORT,24,,6,Bambina
0450002011M53,2025,1,604,NATURINO CLASSIC,S3,0450002,01,1M53,NATURINO CORT,24,,6,Bambina
0502415010C03,2026,1,014,NATURINO LIMANGO,00,0502415,01,0C03,NATURINO SKYLINE,20,,6,
0502415010F03,2026,1,014,NATURINO LIMANGO,00,0502415,01,0F03,NATURINO SKYLINE,20,,6,
0502415010G05,2026,1,014,NATURINO LIMANGO,00,0502415,01,0G05,NATURINO SKYLINE,20,,6,
0502415019101,2026,1,014,NATURINO LIMANGO,00,0502415,01,9101,NATURINO SKYLINE,20,,6,
0502420020C02,2025,1,014,NATURINO LIMANGO,00,0502420,02,0C02,NATURINO SUMMER BANDS,20,,6,
0502420020D02,2025,1,014,NATURINO LIMANGO,00,0502420,02,0D02,NATURINO SUMMER BANDS,20,,6,
0502420020F14,2025,1,014,NATURINO LIMANGO,00,0502420,02,0F14,NATURINO SUMMER BANDS,20,,6,
0502420020L04,2025,1,014,NATURINO LIMANGO,00,0502420,02,0L04,NATURINO SUMMER BANDS,20,,6,
0502420020M01,2025,1,014,NATURINO LIMANGO,00,0502420,02,0M01,NATURINO SUMMER BANDS,20,,6,
0502429010C02,2024,1,603,NATURINO WILD LIFE,A4,0502429,01,0C02,NATURINO SUN,20,,6,Bambino
0502430010C02,2027,1,603,NATURINO WILD LIFE,A4,0502430,01,0C02,NATURINO SKY,20,,6,Bambino
0502430010C08,2027,1,603,NATURINO WILD LIFE,A4,0502430,01,0C08,NATURINO SKY,20,,6,Bambino
0502430010C19,2024,1,603,NATURINO WILD LIFE,A4,0502430,01,0C19,NATURINO SKY,20,,6,
0502430010D06,2027,1,603,NATURINO WILD LIFE,A4,0502430,01,0D06,NATURINO SKY,20,,6,Bambino
0502430010D08,2027,1,603,NATURINO WILD LIFE,A4,0502430,01,0D08,NATURINO SKY,20,,6,Bambino
0502430010E13,2027,1,603,NATURINO WILD LIFE,A4,0502430,01,0E13,NATURINO SKY,20,,6,
0502430010F06,2027,1,603,NATURINO WILD LIFE,A4,0502430,01,0F06,NATURINO SKY,20,,6,Bambino
0502430010F15,2027,1,603,NATURINO WILD LIFE,A4,0502430,01,0F15,NATURINO SKY,20,,6,Bambino
0502430010G03,2026,1,603,NATURINO WILD LIFE,A4,0502430,01,0G03,NATURINO SKY,20,C,6,Bambina
0502430010G04,2024,1,603,NATURINO WILD LIFE,A4,0502430,01,0G04,NATURINO SKY,20,C,6,Bambino
0502430010H14,2024,1,603,NATURINO WILD LIFE,A4,0502430,01,0H14,NATURINO SKY,20,C,6,
0502430010I03,2026,1,603,NATURINO WILD LIFE,A4,0502430,01,0I03,NATURINO SKY,20,,6,
0502430010M02,2027,1,603,NATURINO WILD LIFE,A4,0502430,01,0M02,NATURINO SKY,20,,6,Bambina
0502430010M19,2024,1,603,NATURINO WILD LIFE,A4,0502430,01,0M19,NATURINO SKY,20,,6,
0502430012F39,2024,1,603,NATURINO WILD LIFE,A4,0502430,01,2F39,NATURINO SKY,20,,6,
0502430013C19,2024,1,603,NATURINO WILD LIFE,A4,0502430,01,3C19,NATURINO SKY,20,,6,
0502430013M19,2024,1,603,NATURINO WILD LIFE,A4,0502430,01,3M19,NATURINO SKY,20,,6,
0502430021D99,2024,1,603,NATURINO WILD LIFE,A4,0502430,02,1D99,NATURINO SKY,20,,6,
0502430021G91,2026,1,603,NATURINO WILD LIFE,A4,0502430,02,1G91,NATURINO SKY,20,,6,
0502430021M91,2025,1,603,NATURINO WILD LIFE,A4,0502430,02,1M91,NATURINO SKY,20,,6,Bambina
0502430022D40,2026,1,603,NATURINO WILD LIFE,A4,0502430,02,2D40,NATURINO SKY,20,,6,
0502430022M69,2026,1,603,NATURINO WILD LIFE,A4,0502430,02,2M69,NATURINO SKY,20,,6,Bambina
0502430023C71,2024,1,603,NATURINO WILD LIFE,A4,0502430,02,3C71,NATURINO SKY,20,,6,Bambino
0502430023C89,2027,1,603,NATURINO WILD LIFE,A4,0502430,02,3C89,NATURINO SKY,20,,6,
0502430023D41,2026,1,603,NATURINO WILD LIFE,A4,0502430,02,3D41,NATURINO SKY,20,,6,
0502430023D87,2025,1,603,NATURINO WILD LIFE,A4,0502430,02,3D87,NATURINO SKY,20,,6,Bambino
0502430023F44,2025,1,603,NATURINO WILD LIFE,A4,0502430,02,3F44,NATURINO SKY,20,,6,Bambino
0502430023F75,2026,1,603,NATURINO WILD LIFE,A4,0502430,02,3F75,NATURINO SKY,20,,6,Bambino
0502430023F87,2027,1,603,NATURINO WILD LIFE,A4,0502430,02,3F87,NATURINO SKY,20,,6,
0502430023M77,2027,1,603,NATURINO WILD LIFE,A4,0502430,02,3M77,NATURINO SKY,20,,6,
0502430024C10,2025,1,603,NATURINO WILD LIFE,A4,0502430,02,4C10,NATURINO SKY,20,,6,Bambino
0502430024D03,2026,1,603,NATURINO WILD LIFE,A4,0502430,02,4D03,NATURINO SKY,20,,6,Bambino
0502430024D51,2025,1,603,NATURINO WILD LIFE,A4,0502430,02,4D51,NATURINO SKY,20,,6,
0502430024D53,2026,1,603,NATURINO WILD LIFE,A4,0502430,02,4D53,NATURINO SKY,20,,6,
0502430024D65,2027,1,603,NATURINO WILD LIFE,A4,0502430,02,4D65,NATURINO SKY,20,,6,
0502430510C09,2024,1,603,NATURINO WILD LIFE,A4,0502430,51,0C09,NATURINO SKY,20,,6,
0502430510D02,2024,1,603,NATURINO WILD LIFE,A4,0502430,51,0D02,NATURINO SKY,20,,6,Bambino
0502430510F15,2024,1,603,NATURINO WILD LIFE,A4,0502430,51,0F15,NATURINO SKY,20,,6,
0502430520M02,2024,1,603,NATURINO WILD LIFE,A4,0502430,52,0M02,NATURINO SKY,20,,6,Bambina
0502430530N02,2024,1,603,NATURINO WILD LIFE,A4,0502430,53,0N02,NATURINO SKY,20,,6,Bambina
0502430540D08,2024,1,603,NATURINO WILD LIFE,A4,0502430,54,0D08,NATURINO SKY,20,,6,
0502430552C28,2024,1,603,NATURINO WILD LIFE,A4,0502430,55,2C28,NATURINO SKY,20,,6,
0502430560B04,2024,1,603,NATURINO WILD LIFE,A4,0502430,56,0B04,NATURINO SKY,20,,6,
0502430570C03,2024,1,603,NATURINO WILD LIFE,A4,0502430,57,0C03,NATURINO SKY,20,,6,Bambino
0502430571D50,2024,1,603,NATURINO WILD LIFE,A4,0502430,57,1D50,NATURINO SKY,20,,6,
0502430580N02,2024,1,603,NATURINO WILD LIFE,A4,0502430,58,0N02,NATURINO SKY,20,,6,Bambina
0502430592B06,2024,1,603,NATURINO WILD LIFE,A4,0502430,59,2B06,NATURINO SKY,20,,6,
0502430631N34,2024,1,603,NATURINO WILD LIFE,A4,0502430,63,1N34,NATURINO SKY,20,,6,
0502430640B04,2025,1,603,NATURINO WILD LIFE,A4,0502430,64,0B04,NATURINO SKY,20,,6,
0502430640C03,2025,1,603,NATURINO WILD LIFE,A4,0502430,64,0C03,NATURINO SKY,20,,6,
0502430660M04,2025,1,603,NATURINO WILD LIFE,A4,0502430,66,0M04,NATURINO SKY,20,,6,Bambina
0502430670N02,2025,1,603,NATURINO WILD LIFE,A4,0502430,67,0N02,NATURINO SKY,20,,6,Bambina
0502430680C03,2025,1,603,NATURINO WILD LIFE,A4,0502430,68,0C03,NATURINO SKY,20,,6,Bambino
0502430690D12,2025,1,603,NATURINO WILD LIFE,A4,0502430,69,0D12,NATURINO SKY,20,,6,
0502430710F21,2025,1,603,NATURINO WILD LIFE,A4,0502430,71,0F21,NATURINO SKY,20,,6,
0502430720N01,2025,1,603,NATURINO WILD LIFE,A4,0502430,72,0N01,NATURINO SKY,20,,6,
0502430730N02,2025,1,603,NATURINO WILD LIFE,A4,0502430,73,0N02,NATURINO SKY,20,,6,Bambina
0502430741G07,2025,1,603,NATURINO WILD LIFE,A4,0502430,74,1G07,NATURINO SKY,20,,6,Bambino
0502430851D55,2026,1,603,NATURINO WILD LIFE,A4,0502430,85,1D55,NATURINO SKY,20,,6,Bambino
0502430863C61,2026,1,603,NATURINO WILD LIFE,A4,0502430,86,3C61,NATURINO SKY,20,,6,
0502430871B65,2026,1,603,NATURINO WILD LIFE,A4,0502430,87,1B65,NATURINO SKY,20,,6,
0502430880M04,2026,1,603,NATURINO WILD LIFE,A4,0502430,88,0M04,NATURINO SKY,20,,6,Bambina
0502430892N96,2026,1,603,NATURINO WILD LIFE,A4,0502430,89,2N96,NATURINO SKY,20,,6,
0502430900B04,2026,1,603,NATURINO WILD LIFE,A4,0502430,90,0B04,NATURINO SKY,20,,6,
0502430900C03,2026,1,603,NATURINO WILD LIFE,A4,0502430,90,0C03,NATURINO SKY,20,,6,
0502430910I03,2026,1,603,NATURINO WILD LIFE,A4,0502430,91,0I03,NATURINO SKY,20,,6,Bambina
0502430920N01,2026,1,603,NATURINO WILD LIFE,A4,0502430,92,0N01,NATURINO SKY,20,,6,Bambina
0502430930N02,2026,1,603,NATURINO WILD LIFE,A4,0502430,93,0N02,NATURINO SKY,20,,6,Bambina
0502430941G15,2026,1,603,NATURINO WILD LIFE,A4,0502430,94,1G15,NATURINO SKY,20,,6,Bambino
0502430952M20,2026,1,603,NATURINO WILD LIFE,A4,0502430,95,2M20,NATURINO SKY,20,,6,
0502430960M02,2026,1,603,NATURINO WILD LIFE,A4,0502430,96,0M02,NATURINO SKY,20,,6,
0502430981C89,2026,1,603,NATURINO WILD LIFE,A4,0502430,98,1C89,NATURINO SKY,20,,6,Bambino
0502430982B39,2026,1,603,NATURINO WILD LIFE,A4,0502430,98,2B39,NATURINO SKY,20,,6,
0502430B10E09,2027,1,603,NATURINO WILD LIFE,A4,0502430,B1,0E09,NATURINO SKY,20,,0,
0502430B10F21,2027,1,603,NATURINO WILD LIFE,A4,0502430,B1,0F21,NATURINO SKY,20,,0,
0502430B10M19,2027,1,603,NATURINO WILD LIFE,A4,0502430,B1,0M19,NATURINO SKY,20,,0,
0502430B30N01,2027,1,603,NATURINO WILD LIFE,A4,0502430,B3,0N01,NATURINO SKY,20,,0,
0502430B40N01,2027,1,603,NATURINO WILD LIFE,A4,0502430,B4,0N01,NATURINO SKY,20,,0,
0502430B50E01,2027,1,603,NATURINO WILD LIFE,A4,0502430,B5,0E01,NATURINO SKY,20,,0,
0502430B60C10,2027,1,603,NATURINO WILD LIFE,A4,0502430,B6,0C10,NATURINO SKY,20,,0,
0502430B60D09,2027,1,603,NATURINO WILD LIFE,A4,0502430,B6,0D09,NATURINO SKY,20,,0,
0502430B60F03,2027,1,603,NATURINO WILD LIFE,A4,0502430,B6,0F03,NATURINO SKY,20,,0,
0502430B70M02,2027,1,603,NATURINO WILD LIFE,A4,0502430,B7,0M02,NATURINO SKY,20,,0,
0502430B81C87,2027,1,603,NATURINO WILD LIFE,A4,0502430,B8,1C87,NATURINO SKY,20,,0,
0502430B90D09,2027,1,603,NATURINO WILD LIFE,A4,0502430,B9,0D09,NATURINO SKY,20,,0,
0502430C30M04,2027,1,603,NATURINO WILD LIFE,A4,0502430,C3,0M04,NATURINO SKY,20,,0,
0502430C60N02,2027,1,603,NATURINO WILD LIFE,A4,0502430,C6,0N02,NATURINO SKY,20,,0,
0502430C70N02,2027,1,603,NATURINO WILD LIFE,A4,0502430,C7,0N02,NATURINO SKY,20,,0,
0502430C80N01,2027,1,603,NATURINO WILD LIFE,A4,0502430,C8,0N01,NATURINO SKY,20,,0,
0502430C90L14,2027,1,603,NATURINO WILD LIFE,A4,0502430,C9,0L14,NATURINO SKY,20,,0,
0502451010C01,2024,1,607,NATURINO ACTIVE,S1,0502451,01,0C01,NATURINO DOCK,24,C,6,Bambino
0502451010C03,2024,1,607,NATURINO ACTIVE,S1,0502451,01,0C03,NATURINO DOCK,24,C,6,Bambino
0502451010C22,2026,1,607,NATURINO ACTIVE,S1,0502451,01,0C22,NATURINO DOCK,24,,6,Bambino
0502451010G05,2025,1,607,NATURINO ACTIVE,S1,0502451,01,0G05,NATURINO DOCK,24,,6,
0502451010H05,2024,1,607,NATURINO ACTIVE,S1,0502451,01,0H05,NATURINO DOCK,24,C,6,Bambino
0502451011C65,2025,1,607,NATURINO ACTIVE,S1,0502451,01,1C65,NATURINO DOCK,24,,6,Bambino
0502451011C81,2026,1,607,NATURINO ACTIVE,S1,0502451,01,1C81,NATURINO DOCK,24,,6,Bambino
0502451011D73,2025,1,607,NATURINO ACTIVE,S1,0502451,01,1D73,NATURINO DOCK,24,,6,Bambino
0502451012D87,2026,1,607,NATURINO ACTIVE,S1,0502451,01,2D87,NATURINO DOCK,24,,6,
0502451012G27,2024,1,607,NATURINO ACTIVE,S1,0502451,01,2G27,NATURINO DOCK,24,,6,
0502451020C06,2024,1,607,NATURINO ACTIVE,S1,0502451,02,0C06,NATURINO DOCK,24,C,6,Bambino
0502451283C94,2024,1,607,NATURINO ACTIVE,S1,0502451,28,3C94,NATURINO DOCK,24,,6,Bambino
0502451293M46,2024,1,607,NATURINO ACTIVE,S1,0502451,29,3M46,NATURINO DOCK,24,,6,
0502451300B04,2024,1,607,NATURINO ACTIVE,S1,0502451,30,0B04,NATURINO DOCK,24,,6,
0502451311N21,2024,1,607,NATURINO ACTIVE,S1,0502451,31,1N21,NATURINO DOCK,24,,6,Bambina
0502451321M29,2024,1,607,NATURINO ACTIVE,S1,0502451,32,1M29,NATURINO DOCK,24,,6,
0502451330C03,2025,1,607,NATURINO ACTIVE,S1,0502451,33,0C03,NATURINO DOCK,24,,6,
0502451332C82,2026,1,607,NATURINO ACTIVE,S1,0502451,33,2C82,NATURINO DOCK,24,,6,
0502451334D91,2026,1,607,NATURINO ACTIVE,S1,0502451,33,4D91,NATURINO DOCK,24,,6,Bambino
0502451350N01,2025,1,607,NATURINO ACTIVE,S1,0502451,35,0N01,NATURINO DOCK,24,,6,Bambina
0502451360C03,2025,1,607,NATURINO ACTIVE,S1,0502451,36,0C03,NATURINO DOCK,24,,6,
0502451380R01,2025,1,607,NATURINO ACTIVE,S1,0502451,38,0R01,NATURINO DOCK,24,,6,
0502451400C02,2026,1,607,NATURINO ACTIVE,S1,0502451,40,0C02,NATURINO DOCK,24,,6,Bambino
0502451400M02,2026,1,607,NATURINO ACTIVE,S1,0502451,40,0M02,NATURINO DOCK,24,,6,
0502451410N01,2026,1,607,NATURINO ACTIVE,S1,0502451,41,0N01,NATURINO DOCK,24,,6,Bambina
0502451420N01,2026,1,607,NATURINO ACTIVE,S1,0502451,42,0N01,NATURINO DOCK,24,,6,Bambina
